class,Mean,Variance,Standard Deviation,Skewness,Kurtosis,Entropy,Contrast,Energy,Dissimilarity,Correlation
0,6.535339355,619.5878446,24.89152154,4.276477026,18.90057479,0.109059009,98.61397059,0.293314497,4.473345588,0.981938697
0,8.749969482,805.957634,28.38939298,3.718115626,14.46461754,0.266538307,63.85881588,0.475051296,3.220071568,0.988834396
1,7.341094971,1143.808219,33.82023387,5.061750412,26.47956316,0.001466811,81.86720593,0.031916712,5.981799798,0.978013693
1,5.958145142,959.7119849,30.9792186,5.677977409,33.42884534,0.001477124,151.229741,0.032023749,7.700918964,0.964189183
0,7.315231323,729.540579,27.01000887,4.283220908,19.07910829,0.146760596,174.988756,0.343849414,6.834688995,0.972788726
0,7.524108887,607.3952578,24.64539019,3.729886121,14.47173605,0.214085626,105.0778816,0.421587453,4.193146417,0.976484963
0,12.30441284,922.7461377,30.37673679,2.930094733,8.969347633,0.128833099,115.2031184,0.320674561,4.88032027,0.974745237
0,15.92947388,1069.950248,32.71009397,2.484002192,6.515889464,0.10765759,94.87428843,0.291321373,4.24205408,0.976774223
0,19.9216156,1166.120922,34.14851274,2.129173011,4.905844176,0.094975457,93.81892009,0.272485776,4.02716682,0.974310317
1,8.476196289,1095.785127,33.10264532,4.364999923,19.68251366,0.003001891,72.5887827,0.045685081,4.590794769,0.9678297
1,9.804611206,1114.829653,33.38906487,3.872727695,15.55286163,0.002436209,66.28546238,0.041140002,4.626763323,0.968749847
1,12.32678223,1150.677144,33.92163239,3.623977732,14.7622699,0.003768576,165.4847906,0.05132105,5.215436001,0.958601277
1,10.19346619,813.9243634,28.52935967,3.359134668,12.18166951,0.009774475,110.568643,0.083283925,3.566798419,0.946884139
0,7.156311035,413.4382213,20.3331803,3.179781353,10.28734659,0.081825463,122.4026637,0.250908149,3.552497225,0.938238115
0,5.291473389,430.9637656,20.7596668,4.369184389,19.63192044,0.354116233,46.86429128,0.555339875,2.373637072,0.987914479
1,12.77394104,988.4031722,31.43887995,3.195462275,11.10187886,0.002234181,84.66410206,0.03939601,5.033599533,0.974600383
1,15.31752014,1076.878002,32.81581938,2.8348342,8.814871887,0.004807546,102.2484151,0.058072768,5.049049049,0.959732931
0,6.24671936,459.398171,21.43357579,3.805883482,14.76742672,0.121085179,95.85850515,0.309860478,4.234020619,0.972072472
0,5.450424194,337.8792909,18.38149316,3.76510753,14.52813236,0.112746338,63.18477131,0.297823227,2.621621622,0.973650519
0,8.333740234,475.7823571,21.81243584,3.078875174,9.949499192,0.204901688,71.20957762,0.411427361,2.899784773,0.972399837
0,6.339523315,293.878381,17.14288135,3.180849338,10.43942586,0.069965444,92.84570989,0.231417756,4.117352828,0.935662144
0,1.480270386,62.09125919,7.879800708,5.944517679,36.98739834,0.132055244,86.34391534,0.324792638,3.875661376,0.912182185
0,4.506057739,280.8291594,16.75795809,4.153132904,17.76802013,0.133243102,52.55454009,0.326223047,3.011792453,0.977915273
0,6.592895508,392.2113385,19.80432626,3.438674599,12.25443475,0.204875701,73.95724138,0.411389097,2.988965517,0.971014757
0,10.96429443,619.8329251,24.89644403,2.720562968,7.775729298,0.126598302,91.60589971,0.31750518,3.771746968,0.966220222
1,7.483703613,761.8197401,27.60108223,4.368951239,20.61496996,0.001379888,83.91363636,0.03094519,5.391991342,0.965808789
0,1.119476318,66.18685309,8.135530289,7.726651463,61.79062408,0.394538601,188.909201,0.589681787,4.339588378,0.891207544
0,5.663375854,421.3915334,20.5278234,4.231537298,18.77510389,0.068329502,109.3194922,0.228934437,4.400896191,0.966815113
0,8.187423706,556.1948274,23.58378314,3.3476589,11.70520294,0.244744382,78.97602441,0.453306016,2.915431561,0.976762481
0,15.85743713,889.2102178,29.81962806,2.243091725,5.483379102,0.193005979,66.4295302,0.398237398,3.030872483,0.980139639
0,4.349365234,214.8537928,14.65789183,3.788105722,14.80847947,0.093111045,44.91455091,0.268945627,2.738738739,0.969132682
1,13.15136719,746.8114624,27.32785141,3.261718813,13.13994529,0.027340414,88.14803544,0.14182376,3.981673091,0.96595518
1,14.83332825,808.6520489,28.43680799,3.21695453,12.87437489,0.039451307,101.5851291,0.171559174,3.870763187,0.963876611
1,2.499725342,169.7747583,13.02976432,6.258172763,46.79850896,0.00637256,195.5143208,0.066628647,5.453764321,0.793971675
0,2.014083862,69.11581367,8.313592104,4.498759885,20.61956798,0.135643968,20.64767025,0.327861126,1.652329749,0.969934358
0,2.470672607,80.39369112,8.966252903,3.965196584,16.07489259,0.272505187,13.20640968,0.479623996,1.146795159,0.980842235
1,4.966384888,208.8477208,14.45156465,3.483989727,13.26190392,0.019947375,29.50135135,0.119390917,2.155405405,0.956588783
0,3.079467773,119.9855213,10.95379027,3.862674681,15.14560648,0.144366448,35.0960046,0.338391443,1.656510492,0.961676828
0,7.731384277,194.8598136,13.95921966,2.228601318,5.216356497,0.078340828,28.24707087,0.24290053,1.776589694,0.949767588
0,6.276229858,174.6927033,13.21713673,2.485536199,6.358588852,0.085651506,29.55245256,0.254149477,1.702255639,0.947647913
0,3.94354248,122.2083776,11.0547898,3.148641233,10.08342333,0.093945497,34.10879655,0.267539603,1.96006476,0.941313635
0,1.117874146,39.9919672,6.323920239,5.959684016,36.00871542,0.203139334,64.58596192,0.407704855,2.735436203,0.909452751
0,7.758163452,543.1741674,23.30609722,3.368115945,11.68005221,0.226579736,92.01083916,0.434380725,2.781818182,0.973938605
0,12.1353302,780.0252777,27.92893263,2.720866495,7.775748845,0.175298843,93.94147583,0.378112416,3.328971283,0.973854513
0,17.50057983,1031.956201,32.1240751,2.223857193,5.267139574,0.118040039,80.36826531,0.3057216,3.196632653,0.977246371
0,20.10021973,1079.82774,32.86073249,2.014287033,4.446617859,0.116310869,90.7512477,0.303220101,3.285876893,0.973051882
0,3.620681763,185.5807547,13.62280275,4.265707929,19.15060999,0.138281289,101.7637493,0.332935577,3.633057363,0.937041703
0,5.866195679,553.5010786,23.52660364,4.377248429,19.57772794,0.110860489,131.5436486,0.295623249,4.164024057,0.973575838
0,6.661819458,583.0062181,24.1455217,3.974405137,16.11979614,0.182475207,117.9190401,0.386306044,3.320411392,0.975897009
0,9.871704102,759.8420511,27.56523265,3.13876165,10.13549717,0.185190459,144.6595275,0.389446194,3.662077172,0.967065393
0,16.36895752,1098.155824,33.13843425,2.409524479,6.038080806,0.094737024,133.2393017,0.271793707,3.87949833,0.965085959
1,16.64685059,1408.228128,37.52636577,2.808576555,8.404466772,0.014825333,137.7900452,0.103487378,4.687782805,0.95917317
1,15.72087097,1485.609374,38.54360354,3.039290624,9.777729303,0.0074718,154.3261895,0.072926039,5.376640689,0.960935943
1,13.52416992,1357.276419,36.84123259,3.281467063,11.33284905,0.005722021,116.973064,0.063659197,5.133682504,0.967406542
1,6.070129395,791.1150484,28.12676747,4.988156954,25.51399257,0.022536604,192.8379289,0.128451236,5.061580882,0.964031264
0,3.875167847,214.6176179,14.64983337,4.156201057,17.61767985,0.137330892,43.0590756,0.330616435,2.575145393,0.976799306
1,1.593841553,177.4670182,13.32167475,9.007385999,85.73181058,0.003328258,193.9919192,0.048162862,7.16969697,0.915971572
1,3.763168335,379.8073078,19.48864561,5.646573994,33.20807482,0.051324941,199.156682,0.19696645,5.077682686,0.955755151
1,4.897201538,539.6138145,23.2295892,5.197141619,28.20339711,0.004555595,119.672028,0.056374003,4.923776224,0.943759305
1,8.928085327,484.8279886,22.01880988,3.233991407,11.70817545,0.003818082,37.98273777,0.051531852,3.575700935,0.959516382
0,8.625411987,325.2309131,18.03415962,2.533505695,6.741894306,0.093592808,52.39616572,0.269690311,2.891276377,0.956411893
0,2.83543396,128.5993776,11.34016656,4.375672503,19.582244,0.164158964,88.60431428,0.364318778,3.651708392,0.929534852
0,4.362121582,306.5118209,17.507479,4.561047496,21.48941844,0.090658769,86.91141833,0.265823977,4.093189964,0.970117549
0,6.264648438,417.0322682,20.42136793,3.716819508,14.43211238,0.239618947,63.42018692,0.448130339,2.803364486,0.979181074
0,17.31001282,939.7560425,30.65544067,2.280532403,5.670443964,0.063837245,98.46883173,0.220849713,4.109524847,0.964136019
0,10.19702148,554.5273093,23.54840354,2.782879498,8.144412318,0.074026977,148.8899297,0.238836403,4.880093677,0.930710884
0,4.561447144,239.1513325,15.4645185,3.937951978,16.31468051,0.08467955,161.7591398,0.256514231,4.940053763,0.903444611
0,8.344451904,851.9692182,29.18851175,3.795707108,14.58056984,0.111649653,219.0094118,0.296585948,4.224117647,0.96368329
1,1.259246826,172.2078137,13.12279748,11.56033647,140.1519532,0.036208326,1187.851111,0.164284832,16.00666667,0.86999818
0,32.97433472,2630.774546,51.29107667,1.990064117,4.263510447,0.058575116,386.9463798,0.2110359,6.379273653,0.944384262
0,3.038330078,262.5745324,16.2041517,5.865801433,36.05341297,0.196635337,339.5773956,0.402620957,7.293857494,0.92000093
0,4.963256836,259.8540077,16.11998783,3.648719545,13.72525038,0.121535001,58.17265125,0.310298059,3.115346778,0.966429903
1,12.08615112,880.7494354,29.67742299,3.485584952,14.36548876,0.003763306,87.65331715,0.051254171,4.863875405,0.965216394
0,14.551651,560.8827135,23.68296252,2.118363381,4.890460234,0.058005138,92.39438562,0.209475064,3.679881803,0.939049619
0,12.83816528,540.5816379,23.25041156,2.260164372,5.430977176,0.069103248,75.4795082,0.229672063,3.325591985,0.952015098
0,5.885696411,297.0793243,17.23598922,3.305885788,11.22601078,0.105118901,91.96255411,0.286899475,3.866233766,0.943978853
0,7.50239563,874.9507395,29.57956625,4.411945088,20.0797246,0.130429257,187.4664948,0.322751138,5.109213918,0.977112487
1,7.081207275,1126.526072,33.5637613,5.136202607,26.94673678,0.00288348,202.8146877,0.044859013,7.457103638,0.960127269
1,13.19369507,1924.05756,43.86408052,3.739343441,14.31958978,0.001732272,152.2679035,0.034703797,6.412615955,0.9610773
1,20.890625,2384.714865,48.83354242,2.845018187,8.383018192,0.004747906,190.6439181,0.057847909,6.827378563,0.957097265
1,0.770980835,164.8053249,12.83765262,16.92571392,289.7418006,0.008114281,138.7330317,0.075377064,8.552036199,0.878611129
1,6.56652832,897.3366051,29.9555772,4.794583646,23.09522537,0.005889753,45.64159605,0.064029375,3.75670904,0.76326011
0,2.441253662,222.6276609,14.92071248,6.545699509,44.21355983,0.165151629,382.3919945,0.366324029,7.164251208,0.91503127
0,11.64813232,1283.16442,35.82128445,3.416079138,11.90751655,0.15100232,228.9562333,0.348903505,4.582771536,0.972023412
0,15.3454895,1561.473495,39.51548425,2.935959201,8.914272529,0.19382036,215.7266928,0.399271459,4.196317239,0.973713301
1,4.964813232,818.551999,28.61034776,6.086602864,37.94834336,0.002107338,94.3016129,0.038253359,5.241397849,0.945807011
1,10.02033997,1851.261067,43.02628344,4.674735252,22.39178539,0.00883798,163.4886111,0.07942186,6.236388889,0.981593548
1,9.611495972,1588.09041,39.85085206,4.516749498,20.94220231,0.008884881,254.2649709,0.079630685,5.865924748,0.960357144
1,0.589263916,90.3257165,9.503984243,16.50844404,277.6103563,0.005255876,88.60504202,0.060451658,6.731092437,0.900001618
0,6.216323853,414.4277278,20.35749807,3.748090161,14.66600494,0.278168187,50.64688832,0.486218538,2.417050298,0.983140298
0,12.88148499,752.1583247,27.425505,2.57027938,6.96730521,0.125926616,103.1276992,0.31659798,3.688661654,0.966244075
0,17.99327087,980.6779312,31.31577767,2.219907987,5.267758693,0.073877495,116.1749373,0.238428655,4.185864662,0.962008263
1,6.150177002,472.1130157,21.72816181,4.046978313,17.20146838,0.005802263,88.2057732,0.06360148,4.906804124,0.92397573
1,1.560775757,170.386938,13.05323477,8.778303966,78.9645113,0.006968697,101.5269151,0.069946671,5.725672878,0.952681768
1,4.698516846,499.8728631,22.35783673,5.126724544,27.12334008,0.046110366,128.3163082,0.186252201,4.081541219,0.971592455
1,2.549179077,271.7172319,16.48384761,6.793329322,47.31649457,0.077305046,259.5997031,0.244121744,4.681345868,0.947271755
0,3.430389404,252.7919753,15.89943317,4.899935121,24.2742612,0.140147937,223.8859368,0.333847094,4.611543747,0.924588419
0,3.598403931,262.1475451,16.1909711,5.058375907,26.49788249,0.103148047,60.41137326,0.284345641,3.668481549,0.980284804
0,5.473480225,384.9993651,19.62140069,3.996640752,16.38912807,0.238675624,51.30651381,0.447084151,2.753309015,0.984076033
0,8.955795288,586.006239,24.20756574,3.134371639,10.17411974,0.153840525,74.85436744,0.352435022,3.437360265,0.97721903
0,13.53684998,811.0517734,28.47897072,2.496403878,6.470909639,0.092254538,77.636626,0.268033471,3.456775548,0.973966403
0,4.193084717,285.7092524,16.90293621,4.665084492,22.61802157,0.279734523,52.37640224,0.48771371,2.744391026,0.980323408
0,11.48036194,670.5039543,25.89409111,2.780019689,8.124329287,0.099796042,55.58259847,0.279725353,3.279129924,0.981591538
0,14.08781433,785.3280409,28.02370498,2.432014156,6.361282824,0.149782781,56.20921986,0.347515948,3.344259153,0.981933186
0,5.612884521,348.8004878,18.67620111,3.719114537,14.23864624,0.230126766,59.7534997,0.438113842,2.598701562,0.977254764
